Source,Target,Type,Id,Label,Weight
708,312,Undirected,23812,,1
19,15,Undirected,23813,,1
1935,436,Undirected,23814,,1
836,377,Undirected,23815,,1
836,370,Undirected,23816,,1
1223,211,Undirected,23817,,1
1749,349,Undirected,23818,,1
671,83,Undirected,23819,,1
220,105,Undirected,23820,,1
768,431,Undirected,23821,,1
1608,467,Undirected,23822,,1
454,53,Undirected,23823,,1
769,182,Undirected,23824,,1
918,599,Undirected,23825,,1
532,263,Undirected,23826,,1
1642,425,Undirected,23827,,1
2603,775,Undirected,23828,,1
2573,465,Undirected,23829,,1
567,412,Undirected,23830,,1
1909,48,Undirected,23831,,1
230,9,Undirected,23832,,1
357,355,Undirected,23833,,1
1722,731,Undirected,23834,,1
474,343,Undirected,23835,,1
1603,365,Undirected,23836,,1
717,667,Undirected,23837,,1
865,512,Undirected,23838,,1
695,97,Undirected,23839,,1
470,46,Undirected,23840,,1
624,467,Undirected,23841,,1
525,84,Undirected,23842,,1
370,202,Undirected,23843,,1
588,567,Undirected,23844,,1
2695,383,Undirected,23845,,1
597,91,Undirected,23846,,1
536,502,Undirected,23847,,1
778,314,Undirected,23848,,1
858,305,Undirected,23849,,1
943,191,Undirected,23850,,1
865,826,Undirected,23851,,1
957,811,Undirected,23852,,1
2253,975,Undirected,23853,,1
980,978,Undirected,23854,,1
2092,927,Undirected,23855,,1
716,324,Undirected,23856,,1
599,437,Undirected,23857,,1
534,401,Undirected,23858,,1
664,109,Undirected,23859,,1
695,103,Undirected,23860,,1
436,280,Undirected,23861,,1
767,476,Undirected,23862,,1
715,454,Undirected,23863,,1
511,463,Undirected,23864,,1
436,365,Undirected,23865,,1
1607,562,Undirected,23866,,1
593,194,Undirected,23867,,1
2207,374,Undirected,23868,,1
440,283,Undirected,23869,,1
605,382,Undirected,23870,,1
975,957,Undirected,23871,,1
1247,524,Undirected,23872,,1
838,404,Undirected,23873,,1
859,487,Undirected,23874,,1
426,198,Undirected,23875,,1
1936,122,Undirected,23876,,1
884,532,Undirected,23877,,1
643,145,Undirected,23878,,1
978,356,Undirected,23879,,1
752,295,Undirected,23880,,1
440,66,Undirected,23881,,1
265,130,Undirected,23882,,1
401,229,Undirected,23883,,1
943,24,Undirected,23884,,1
1338,656,Undirected,23885,,1
859,377,Undirected,23886,,1
2443,850,Undirected,23887,,1
597,191,Undirected,23888,,1
767,280,Undirected,23889,,1
981,479,Undirected,23890,,1
976,345,Undirected,23891,,1
1253,120,Undirected,23892,,1
1464,5,Undirected,23893,,1
343,33,Undirected,23894,,1
369,87,Undirected,23895,,1
734,97,Undirected,23896,,1
762,248,Undirected,23897,,1
1284,493,Undirected,23898,,1
943,605,Undirected,23899,,1
1982,811,Undirected,23900,,1
484,222,Undirected,23901,,1
745,715,Undirected,23902,,1
1214,752,Undirected,23903,,1
544,87,Undirected,23904,,1
844,413,Undirected,23905,,1
372,225,Undirected,23906,,1
589,479,Undirected,23907,,1
459,11,Undirected,23908,,1
164,124,Undirected,23909,,1
755,97,Undirected,23910,,1
976,826,Undirected,23911,,1
586,362,Undirected,23912,,1
2023,187,Undirected,23913,,1
2131,456,Undirected,23914,,1
745,376,Undirected,23915,,1
975,583,Undirected,23916,,1
975,568,Undirected,23917,,1
1999,891,Undirected,23918,,1
441,387,Undirected,23919,,1
61,16,Undirected,23920,,1
251,122,Undirected,23921,,1
879,43,Undirected,23922,,1
411,331,Undirected,23923,,1
605,53,Undirected,23924,,1
1498,818,Undirected,23925,,1
693,586,Undirected,23926,,1
975,614,Undirected,23927,,1
809,516,Undirected,23928,,1
981,187,Undirected,23929,,1
745,301,Undirected,23930,,1
467,1,Undirected,23931,,1
401,91,Undirected,23932,,1
383,211,Undirected,23933,,1
787,492,Undirected,23934,,1
978,932,Undirected,23935,,1
435,43,Undirected,23936,,1
2442,387,Undirected,23937,,1
838,458,Undirected,23938,,1
884,638,Undirected,23939,,1
155,109,Undirected,23940,,1
523,276,Undirected,23941,,1
614,452,Undirected,23942,,1
